,fips,poor-fair_health,obesity,below_18,over_65,smoking,drinking,Ethnic_Minority,AA,Asian,Hispanic,income_inequality,child_poverty,uninsured,household_income,unemployment,% labor_force,population,shape area,rural-urban_code,urban-influence_code,population density,rural,total cases,total deaths,% total cases,% total deaths,av_cases,av_deaths,av_days_spreading,av_r_SIR1,av_r_SIR2,av_r_ratio14,av_r_ratio8
2327,42089.0,0.159806638,0.349,0.19880865949999998,0.1671506611,0.1690205323,0.1859890335,0.3165323781,0.1329576426,0.025052664199999998,0.1585220713,4.0453844775,0.149,0.1337208692,63318.0,5.4,0.48916726864821375,170271.0,2813579673.7382803,3.0,2.0,60.51756827407286,0.38353881840000004,77878.0,4371.0,0.46343263154136366,0.026010735155850184,740.9125,36.8625,39.5,2.8550663722432295,25.202299589150165,6.778997095323899,2.6632824623451943
2328,42091.0,0.1157994352,0.258,0.2161704446,0.17332082440000002,0.1338303057,0.1917678289,0.2235765518,0.09260539300000001,0.0791744091,0.0517967497,4.4640966248,0.068,0.0837193762,90155.0,3.5,0.5492535337549569,830915.0,2166106602.08594,1.0,1.0,383.5983876323708,0.0293371206,331086.0,28564.0,0.40079411675695303,0.034577974154889085,2791.621951219512,227.3170731707317,40.5,6.145636055997678,297.80200540094717,5.565121053801415,2.4824029834003345
2329,42093.0,0.1233273466,0.34700000000000003,0.2010726795,0.2064908056,0.144361726,0.2006273275,0.0751422942,0.015488178600000001,0.0317972855,0.027856830099999997,4.6298060708,0.152,0.095132384,61314.0,3.6,0.5003839824465167,18230.0,602801997.308594,3.0,2.0,30.242102848686265,0.537690918,3270.0,3.0,0.17896234676007006,0.00016418563922942207,37.3235294117647,0.04411764705882353,33.5,1.0651426334601937,0.05966021777768035,3.0873092885104683,1.8693764848279546
2330,42095.0,0.1338006433,0.318,0.20060645010000003,0.18576160579999998,0.149863091,0.2033126924,0.215296386,0.052800711900000005,0.0300028015,0.1324928726,4.269842386700001,0.142,0.1193505856,68217.0,4.5,0.530179995741684,305285.0,1703912848.4765599,2.0,2.0,179.16702739400682,0.1276840143,151280.0,8490.0,0.4986074718610438,0.02798239976269343,1398.2727272727273,70.01298701298701,38.0,3.994034176112797,85.89504369690249,19.51256140115663,4.992494396420327
2331,42097.0,0.16063754630000002,0.397,0.1972747721,0.2087711482,0.1807446582,0.1991904893,0.0625998326,0.023373067200000004,0.0046289756,0.0345977898,4.3770928268,0.196,0.11424854920000001,47243.0,5.6,0.475369593694616,90843.0,2163721639.80859,4.0,5.0,41.98460574995048,0.34860570409999997,7985.0,67.0,0.08676612806832629,0.0007280313814123809,83.62903225806451,0.4032258064516129,30.5,1.3891621201795703,0.836267762646869,4.9751055420735435,2.8052825973397093
2332,42099.0,0.1201721611,0.295,0.21508010489999999,0.18015479,0.1529118403,0.2135612507,0.0338413511,0.008910182800000001,0.0050295921999999995,0.019901576100000002,3.5549389192,0.147,0.158218773,62366.0,3.7,0.5312716113416321,46272.0,2483590428.53906,2.0,2.0,18.631091289564562,0.8849877091,2440.0,96.0,0.052897435341557004,0.0020812105708153577,25.557377049180328,0.9016393442622951,30.0,1.1179950712119078,0.09451534559272559,2.9476023569024323,2.135149834433213
2333,42101.0,0.2019656323,0.28600000000000003,0.2182839373,0.1338661225,0.1972653338,0.220839822,0.6342073918,0.4093719696,0.0766992459,0.1481361763,6.6964825603,0.319,0.15583702640000002,46149.0,5.5,0.4558389054987677,1584064.0,630730055.164062,1.0,1.0,2511.47695758364,0.0,1074441.0,53538.0,0.6796547202382496,0.03386631226108777,9498.012658227848,434.8987341772152,39.0,6.409879064434634,375.86794232352844,25.922988016727437,5.24836109625662
2334,42103.0,0.1357740966,0.284,0.1858469052,0.21962256019999998,0.14483864470000002,0.1919467212,0.1806216444,0.05444326730000001,0.0164119876,0.10976638949999999,4.082912289599999,0.14300000000000002,0.1404798872,62657.0,5.6,0.4537081832679317,55809.0,2606071953.9492197,1.0,1.0,21.414988145445296,0.707612125,26193.0,1008.0,0.4703273419403494,0.018099872510818623,253.11688311688312,9.532467532467532,38.0,1.7357987101644536,3.5141296618214435,7.20718958698805,2.7201411631952235
2335,42105.0,0.1450761815,0.316,0.2061064159,0.2343173432,0.168697819,0.1828648612,0.022556838500000002,0.0051184383,0.0036900369,0.0137483633,4.2935620454,0.278,0.1582355275,44883.0,5.9,0.43622171124289,16526.0,5035787962.44141,9.0,9.0,3.2817108510637127,1.0,329.0,0.0,0.01958100226163552,0.0,3.347826086956522,0.0,34.0,1.0016885405141294,0.004478470223207274,1.5048309178743964,1.2294685990338166
2336,42107.0,0.1468185065,0.29600000000000004,0.1956666597,0.2012358928,0.1775461108,0.19985756780000002,0.0783059431,0.0285826512,0.0058708415000000005,0.0438524504,4.2304761009,0.184,0.10871015340000001,48809.0,5.4,0.4708154415353816,141359.0,3531692094.12109,4.0,5.0,40.025856227757906,0.3646123448,28721.0,1058.0,0.20145333136937202,0.00742096809264286,294.46268656716416,8.164179104477611,33.0,1.9782337157665906,6.634384139470206,4.852240468287093,2.553880668093583
